CINUM,ASSETATTRID,ALNVALUE
F5VIP-10.19.100.75: 1812,FLOATINGSELFIP,10.19.100.74
F5VIP-10.19.100.75: 1812,CMDBPORT,1812
F5VIP-10.19.100.75: 1812,ACTIVESELFIP,10.19.100.73
F5VIP-10.19.100.75: 1812,STANDBYSELFIP,10.19.100.72
F5VIP-10.19.100.75: 1813,FLOATINGSELFIP,10.19.100.74
F5VIP-10.19.100.75: 1813,CMDBPORT,1813
F5VIP-10.19.100.75: 1813,ACTIVESELFIP,10.19.100.73
F5VIP-10.19.100.75: 1813,STANDBYSELFIP,10.19.100.72
F5VIP-10.19.100.75: 8888,FLOATINGSELFIP,10.19.100.74
F5VIP-10.19.100.75: 8888,CMDBPORT,8888
F5VIP-10.19.100.75: 8888,ACTIVESELFIP,10.19.100.73
F5VIP-10.19.100.75: 8888,STANDBYSELFIP,10.19.100.72
F5VIP-10.19.11.52: 443,FLOATINGSELFIP,10.19.11.254
F5VIP-10.19.11.52: 443,CMDBPORT,443
F5VIP-10.19.11.52: 443,ACTIVESELFIP,10.19.11.253
F5VIP-10.19.11.52: 443,STANDBYSELFIP,10.19.11.252
F5VIP-10.19.11.53: 443,FLOATINGSELFIP,10.19.11.254
F5VIP-10.19.11.53: 443,CMDBPORT,443
F5VIP-10.19.11.53: 443,ACTIVESELFIP,10.19.11.253
F5VIP-10.19.11.53: 443,STANDBYSELFIP,10.19.11.252
F5VIP-10.19.11.53: 80,FLOATINGSELFIP,10.19.11.254
F5VIP-10.19.11.53: 80,CMDBPORT,80
F5VIP-10.19.11.53: 80,ACTIVESELFIP,10.19.11.253
F5VIP-10.19.11.53: 80,STANDBYSELFIP,10.19.11.252
F5VIP-10.19.12.45: 80,FLOATINGSELFIP,10.19.12.229
F5VIP-10.19.12.45: 80,CMDBPORT,80
F5VIP-10.19.12.45: 80,ACTIVESELFIP,10.19.12.228
F5VIP-10.19.12.45: 80,STANDBYSELFIP,10.19.12.227
F5VIP-10.19.135.110: 443,FLOATINGSELFIP,10.19.135.111
F5VIP-10.19.135.110: 443,CMDBPORT,443
F5VIP-10.19.135.110: 443,ACTIVESELFIP,10.19.135.112
F5VIP-10.19.135.110: 443,STANDBYSELFIP,10.19.135.113
F5VIP-10.19.135.114: 443,FLOATINGSELFIP,10.19.135.111
F5VIP-10.19.135.114: 443,CMDBPORT,443
F5VIP-10.19.135.114: 443,ACTIVESELFIP,10.19.135.112
F5VIP-10.19.135.114: 443,STANDBYSELFIP,10.19.135.113
F5VIP-10.19.135.115: 443,FLOATINGSELFIP,10.19.135.111
F5VIP-10.19.135.115: 443,CMDBPORT,443
F5VIP-10.19.135.115: 443,ACTIVESELFIP,10.19.135.112
F5VIP-10.19.135.115: 443,STANDBYSELFIP,10.19.135.113
F5VIP-10.19.135.140: 443,FLOATINGSELFIP,10.19.135.141
F5VIP-10.19.135.140: 443,CMDBPORT,443
F5VIP-10.19.135.140: 443,ACTIVESELFIP,10.19.135.142
F5VIP-10.19.135.140: 443,STANDBYSELFIP,10.19.135.143
F5VIP-10.19.135.144: 443,FLOATINGSELFIP,10.19.135.141
F5VIP-10.19.135.144: 443,CMDBPORT,443
F5VIP-10.19.135.144: 443,ACTIVESELFIP,10.19.135.142
F5VIP-10.19.135.144: 443,STANDBYSELFIP,10.19.135.143
F5VIP-10.19.138.150: 80,FLOATINGSELFIP,10.19.138.155
F5VIP-10.19.138.150: 80,CMDBPORT,80
F5VIP-10.19.138.150: 80,ACTIVESELFIP,10.19.138.154
F5VIP-10.19.138.150: 80,STANDBYSELFIP,10.19.138.153
F5VIP-10.19.138.150: 8001,FLOATINGSELFIP,10.19.138.155
F5VIP-10.19.138.150: 8001,CMDBPORT,8001
F5VIP-10.19.138.150: 8001,ACTIVESELFIP,10.19.138.154
F5VIP-10.19.138.150: 8001,STANDBYSELFIP,10.19.138.153
F5VIP-10.19.139.12: 80,FLOATINGSELFIP,10.19.139.14
F5VIP-10.19.139.12: 80,CMDBPORT,80
F5VIP-10.19.139.12: 80,ACTIVESELFIP,10.19.139.7
F5VIP-10.19.139.12: 80,STANDBYSELFIP,10.19.139.13
F5VIP-10.19.139.148: 443,FLOATINGSELFIP,10.19.139.151
F5VIP-10.19.139.148: 443,CMDBPORT,443
F5VIP-10.19.139.148: 443,ACTIVESELFIP,10.19.139.149
F5VIP-10.19.139.148: 443,STANDBYSELFIP,10.19.139.150
F5VIP-10.19.139.25: 80,FLOATINGSELFIP,10.19.139.24
F5VIP-10.19.139.25: 80,CMDBPORT,80
F5VIP-10.19.139.25: 80,ACTIVESELFIP,10.19.139.23
F5VIP-10.19.139.25: 80,STANDBYSELFIP,10.19.139.22
F5VIP-10.19.139.25: 8080,FLOATINGSELFIP,10.19.139.24
F5VIP-10.19.139.25: 8080,CMDBPORT,8080
F5VIP-10.19.139.25: 8080,ACTIVESELFIP,10.19.139.23
F5VIP-10.19.139.25: 8080,STANDBYSELFIP,10.19.139.22
F5VIP-10.19.139.25: 90,FLOATINGSELFIP,10.19.139.24
F5VIP-10.19.139.25: 90,CMDBPORT,90
F5VIP-10.19.139.25: 90,ACTIVESELFIP,10.19.139.23
F5VIP-10.19.139.25: 90,STANDBYSELFIP,10.19.139.22
F5VIP-10.19.139.25: 9090,FLOATINGSELFIP,10.19.139.24
F5VIP-10.19.139.25: 9090,CMDBPORT,9090
F5VIP-10.19.139.25: 9090,ACTIVESELFIP,10.19.139.23
F5VIP-10.19.139.25: 9090,STANDBYSELFIP,10.19.139.22
F5VIP-10.19.142.139: 8003,FLOATINGSELFIP,10.19.142.142
F5VIP-10.19.142.139: 8003,CMDBPORT,8003
F5VIP-10.19.142.139: 8003,ACTIVESELFIP,10.19.142.141
F5VIP-10.19.142.139: 8003,STANDBYSELFIP,10.19.142.140
F5VIP-10.19.144.150: 8012,FLOATINGSELFIP,10.19.144.153
F5VIP-10.19.144.150: 8012,CMDBPORT,8012
F5VIP-10.19.144.150: 8012,ACTIVESELFIP,10.19.144.152
F5VIP-10.19.144.150: 8012,STANDBYSELFIP,10.19.144.151
F5VIP-10.19.151.120: 25,FLOATINGSELFIP,10.19.151.32
F5VIP-10.19.151.120: 25,CMDBPORT,25
F5VIP-10.19.151.120: 25,ACTIVESELFIP,10.19.151.31
F5VIP-10.19.151.120: 25,STANDBYSELFIP,10.19.151.30
F5VIP-10.19.151.35: 110,FLOATINGSELFIP,10.19.151.32
F5VIP-10.19.151.35: 110,CMDBPORT,110
F5VIP-10.19.151.35: 110,ACTIVESELFIP,10.19.151.31
F5VIP-10.19.151.35: 110,STANDBYSELFIP,10.19.151.30
F5VIP-10.19.151.35: 993,FLOATINGSELFIP,10.19.151.32
F5VIP-10.19.151.35: 993,CMDBPORT,993
F5VIP-10.19.151.35: 993,ACTIVESELFIP,10.19.151.31
F5VIP-10.19.151.35: 993,STANDBYSELFIP,10.19.151.30
F5VIP-10.19.151.35: 995,FLOATINGSELFIP,10.19.151.32
F5VIP-10.19.151.35: 995,CMDBPORT,995
F5VIP-10.19.151.35: 995,ACTIVESELFIP,10.19.151.31
F5VIP-10.19.151.35: 995,STANDBYSELFIP,10.19.151.30
F5VIP-10.19.151.60: 110,FLOATINGSELFIP,10.19.151.32
F5VIP-10.19.151.60: 110,CMDBPORT,110
F5VIP-10.19.151.60: 110,ACTIVESELFIP,10.19.151.31
F5VIP-10.19.151.60: 110,STANDBYSELFIP,10.19.151.30
