CINUM,CINAME,DESCRIPTION,CLASSSTRUCTUREID,CMDB,STATUS,MAINIPLB
F5VIP-10.19.36.183: 8443,F5VIP-10.19.36.183: 8443,INTNOC_BE_VIP_8443,CMDB-IP-F5VIP,1,OPERATING,10.19.36.183
F5VIP-10.19.255.197: 443,F5VIP-10.19.255.197: 443,INTNOC_FE_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.255.197
F5VIP-10.22.247.20: 8443,F5VIP-10.22.247.20: 8443,IR_Te_Lite-FE-VIP_8443,CMDB-IP-F5VIP,1,OPERATING,10.22.247.20
F5VIP-10.19.67.201: 3000,F5VIP-10.19.67.201: 3000,ITSM-ICD-web_VIP_3000,CMDB-IP-F5VIP,1,OPERATING,10.19.67.201
F5VIP-10.19.67.201: 443,F5VIP-10.19.67.201: 443,ITSM-ICD-web_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.67.201
F5VIP-10.19.67.201: 9301,F5VIP-10.19.67.201: 9301,ITSM-ICD-web_VIP_9301,CMDB-IP-F5VIP,1,OPERATING,10.19.67.201
F5VIP-10.19.67.201: 9302,F5VIP-10.19.67.201: 9302,ITSM-ICD-web_VIP_9302,CMDB-IP-F5VIP,1,OPERATING,10.19.67.201
F5VIP-10.190.5.102: 443,F5VIP-10.190.5.102: 443,IVR-Cal-Brdg-Prd_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.190.5.102
F5VIP-10.190.5.102: 8080,F5VIP-10.190.5.102: 8080,IVR-Cal-Brdg-Prd_VIP_8080,CMDB-IP-F5VIP,1,OPERATING,10.190.5.102
F5VIP-10.190.5.116: 443,F5VIP-10.190.5.116: 443,IVR-Call-Bridge_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.190.5.116
F5VIP-10.190.5.116: 80,F5VIP-10.190.5.116: 80,IVR-Call-Bridge_VIP_80,CMDB-IP-F5VIP,1,OPERATING,10.190.5.116
F5VIP-10.190.7.199: 443,F5VIP-10.190.7.199: 443,IVR-RemedyMW-Int_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.190.7.199
F5VIP-10.19.11.52: 443,F5VIP-10.19.11.52: 443,KAM2-CRM_FE-443-VIP,CMDB-IP-F5VIP,1,OPERATING,10.19.11.52
F5VIP-10.19.11.53: 443,F5VIP-10.19.11.53: 443,KAM2-CRM-443-VIP,CMDB-IP-F5VIP,1,OPERATING,10.19.11.53
F5VIP-10.19.11.53: 80,F5VIP-10.19.11.53: 80,KAM2-CRM-80-VIP,CMDB-IP-F5VIP,1,OPERATING,10.19.11.53
F5VIP-10.19.253.245: 443,F5VIP-10.19.253.245: 443,KAM2-Portal_443-Vip,CMDB-IP-F5VIP,1,OPERATING,10.19.253.245
F5VIP-10.19.12.45: 80,F5VIP-10.19.12.45: 80,KAM2-Reporting-80-VIP,CMDB-IP-F5VIP,1,OPERATING,10.19.12.45
F5VIP-10.19.26.148: 3000,F5VIP-10.19.26.148: 3000,LCR-App-FE-Prd_Pool_3000,CMDB-IP-F5VIP,1,OPERATING,10.19.26.148
F5VIP-10.19.26.148: 3389,F5VIP-10.19.26.148: 3389,LCR-App-FE-Prd_VIP_3389,CMDB-IP-F5VIP,1,OPERATING,10.19.26.148
F5VIP-10.19.26.148: 443,F5VIP-10.19.26.148: 443,LCR-App-FE-Prd_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.26.148
F5VIP-10.19.26.148: 8443,F5VIP-10.19.26.148: 8443,LCR-App-FE-Prd_VIP_8443,CMDB-IP-F5VIP,1,OPERATING,10.19.26.148
F5VIP-10.19.255.122: 7070,F5VIP-10.19.255.122: 7070,Loyality_MerchantFE-VIP-7070,CMDB-IP-F5VIP,1,OPERATING,10.19.255.122
F5VIP-10.19.255.122: 80,F5VIP-10.19.255.122: 80,Loyality_MerchantFE-VIP-80,CMDB-IP-F5VIP,1,OPERATING,10.19.255.122
F5VIP-10.19.255.122: 8080,F5VIP-10.19.255.122: 8080,Loyality_MerchantFE-VIP-8080,CMDB-IP-F5VIP,1,OPERATING,10.19.255.122
F5VIP-10.19.255.122: 8085,F5VIP-10.19.255.122: 8085,Loyality_MerchantFE-VIP-8085,CMDB-IP-F5VIP,1,OPERATING,10.19.255.122
F5VIP-10.19.255.122: 8086,F5VIP-10.19.255.122: 8086,Loyality_MerchantFE-VIP-8086,CMDB-IP-F5VIP,1,OPERATING,10.19.255.122
F5VIP-10.19.255.122: 8088,F5VIP-10.19.255.122: 8088,Loyality_MerchantFE-VIP-8088,CMDB-IP-F5VIP,1,OPERATING,10.19.255.122
F5VIP-10.19.255.122: 90,F5VIP-10.19.255.122: 90,Loyality_MerchantFE-VIP-90,CMDB-IP-F5VIP,1,OPERATING,10.19.255.122
F5VIP-10.19.255.122: 9090,F5VIP-10.19.255.122: 9090,Loyality_MerchantFE-VIP-9090,CMDB-IP-F5VIP,1,OPERATING,10.19.255.122
F5VIP-10.19.255.122: 97,F5VIP-10.19.255.122: 97,Loyality_MerchantFE-VIP-97,CMDB-IP-F5VIP,1,OPERATING,10.19.255.122
F5VIP-10.19.139.25: 80,F5VIP-10.19.139.25: 80,Loyality-API-VIP-80,CMDB-IP-F5VIP,1,OPERATING,10.19.139.25
F5VIP-10.19.139.25: 8080,F5VIP-10.19.139.25: 8080,Loyality-API-VIP-8080,CMDB-IP-F5VIP,1,OPERATING,10.19.139.25
F5VIP-10.19.139.25: 90,F5VIP-10.19.139.25: 90,Loyality-API-VIP-90,CMDB-IP-F5VIP,1,OPERATING,10.19.139.25
F5VIP-10.19.139.25: 9090,F5VIP-10.19.139.25: 9090,Loyality-API-VIP-9090,CMDB-IP-F5VIP,1,OPERATING,10.19.139.25
F5VIP-10.19.255.150: 7070,F5VIP-10.19.255.150: 7070,Loyalty_Cust_VIP-7070,CMDB-IP-F5VIP,1,OPERATING,10.19.255.150
F5VIP-10.19.255.150: 80,F5VIP-10.19.255.150: 80,Loyalty_Cust_VIP-80,CMDB-IP-F5VIP,1,OPERATING,10.19.255.150
F5VIP-10.19.255.150: 8080,F5VIP-10.19.255.150: 8080,Loyalty_Cust_VIP-8080,CMDB-IP-F5VIP,1,OPERATING,10.19.255.150
F5VIP-10.20.126.29: 22623,F5VIP-10.20.126.29: 22623,MB_Prod_Upgrad_VIP_22623,CMDB-IP-F5VIP,1,OPERATING,10.20.126.29
F5VIP-10.20.126.30: 80,F5VIP-10.20.126.30: 80,MB_Prod_Upgrad_VIP_80,CMDB-IP-F5VIP,1,OPERATING,10.20.126.30
F5VIP-10.22.92.4: 3443,F5VIP-10.22.92.4: 3443,MDM_Prod_FE_BK_VIP_3443,CMDB-IP-F5VIP,1,OPERATING,10.22.92.4
F5VIP-10.22.92.4: 35063,F5VIP-10.22.92.4: 35063,MDM_Prod_FE_BK_VIP_35063,CMDB-IP-F5VIP,1,OPERATING,10.22.92.4
F5VIP-10.22.92.4: 35100,F5VIP-10.22.92.4: 35100,MDM_Prod_FE_BK_VIP_35100,CMDB-IP-F5VIP,1,OPERATING,10.22.92.4
F5VIP-10.22.92.4: 35101,F5VIP-10.22.92.4: 35101,MDM_Prod_FE_BK_VIP_35101,CMDB-IP-F5VIP,1,OPERATING,10.22.92.4
F5VIP-10.22.92.4: 35103,F5VIP-10.22.92.4: 35103,MDM_Prod_FE_BK_VIP_35103,CMDB-IP-F5VIP,1,OPERATING,10.22.92.4
F5VIP-10.22.92.4: 443,F5VIP-10.22.92.4: 443,MDM_Prod_FE_BK_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.22.92.4
F5VIP-10.22.92.4: 80,F5VIP-10.22.92.4: 80,MDM_Prod_FE_BK_VIP-80,CMDB-IP-F5VIP,1,OPERATING,10.22.92.4
F5VIP-10.19.32.167: 3443,F5VIP-10.19.32.167: 3443,MDM_Prod_FE_VIP_3443,CMDB-IP-F5VIP,1,OPERATING,10.19.32.167
F5VIP-10.19.32.167: 35063,F5VIP-10.19.32.167: 35063,MDM_Prod_FE_VIP_35063,CMDB-IP-F5VIP,1,OPERATING,10.19.32.167
F5VIP-10.19.32.167: 35100,F5VIP-10.19.32.167: 35100,MDM_Prod_FE_VIP_35100,CMDB-IP-F5VIP,1,OPERATING,10.19.32.167
F5VIP-10.19.32.167: 35101,F5VIP-10.19.32.167: 35101,MDM_Prod_FE_VIP_35101,CMDB-IP-F5VIP,1,OPERATING,10.19.32.167
F5VIP-10.19.32.167: 35103,F5VIP-10.19.32.167: 35103,MDM_Prod_FE_VIP_35103,CMDB-IP-F5VIP,1,OPERATING,10.19.32.167
F5VIP-10.19.32.167: 443,F5VIP-10.19.32.167: 443,MDM_Prod_FE_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.32.167
F5VIP-10.19.32.169: 3553,F5VIP-10.19.32.169: 3553,MDM-Prod-FE-A6_VIP ,CMDB-IP-F5VIP,1,OPERATING,10.19.32.169
F5VIP-10.19.32.169: 3443,F5VIP-10.19.32.169: 3443,MDM-Prod-FE-A6_VIP_3443,CMDB-IP-F5VIP,1,OPERATING,10.19.32.169
F5VIP-10.19.32.169: 35063,F5VIP-10.19.32.169: 35063,MDM-Prod-FE-A6_VIP_35063,CMDB-IP-F5VIP,1,OPERATING,10.19.32.169
F5VIP-10.19.32.169: 35100,F5VIP-10.19.32.169: 35100,MDM-Prod-FE-A6_VIP_35100,CMDB-IP-F5VIP,1,OPERATING,10.19.32.169
F5VIP-10.19.32.169: 35101,F5VIP-10.19.32.169: 35101,MDM-Prod-FE-A6_VIP_35101,CMDB-IP-F5VIP,1,OPERATING,10.19.32.169
F5VIP-10.19.32.169: 35103,F5VIP-10.19.32.169: 35103,MDM-Prod-FE-A6_VIP_35103,CMDB-IP-F5VIP,1,OPERATING,10.19.32.169
F5VIP-10.19.32.169: 35103,F5VIP-10.19.32.169: 35103,MDM-Prod-FE-A6_VIP_35103,CMDB-IP-F5VIP,1,OPERATING,10.19.32.169
F5VIP-10.19.32.169: 443,F5VIP-10.19.32.169: 443,MDM-Prod-FE-A6_VIP_443,CMDB-IP-F5VIP,1,OPERATING,10.19.32.169
F5VIP-10.20.129.151: 7801,F5VIP-10.20.129.151: 7801,message-broker_11-test-VIP-7801,CMDB-IP-F5VIP,1,OPERATING,10.20.129.151
F5VIP-10.20.129.151: 7802,F5VIP-10.20.129.151: 7802,message-broker_11-test-VIP-7802,CMDB-IP-F5VIP,1,OPERATING,10.20.129.151
F5VIP-10.20.129.152: 443,F5VIP-10.20.129.152: 443,message-broker11-test-APP-443,CMDB-IP-F5VIP,1,OPERATING,10.20.129.152
F5VIP-10.20.129.152: 80,F5VIP-10.20.129.152: 80,message-broker11-test-APP-80,CMDB-IP-F5VIP,1,OPERATING,10.20.129.152
F5VIP-10.20.126.58: 7800,F5VIP-10.20.126.58: 7800,Middleware_13_Pro_VIP_7800,CMDB-IP-F5VIP,1,OPERATING,10.20.126.58
F5VIP-10.19.247.7: 80,F5VIP-10.19.247.7: 80,Mobile-SharePoint-VIP,CMDB-IP-F5VIP,1,OPERATING,10.19.247.7
