CINUM,SOURCECI,RELATIONNUM,TARGETCI,
WAFVIP-10.190.250.31,WAFVIP-10.190.250.31,PROTECTS,SERVER-10.19.36.5,
WAFVIP-10.190.250.83,WAFVIP-10.190.250.83,PROTECTS,SERVER-10.190.6.39,
WAFVIP-10.190.250.203,WAFVIP-10.190.250.203,PROTECTS,SERVER-10.190.6.39,
WAFVIP-10.190.250.42,WAFVIP-10.190.250.42,PROTECTS,SERVER-10.190.6.39,
WAFVIP-10.190.250.8,WAFVIP-10.190.250.8,PROTECTS,SERVER-10.19.32.38,
WAFVIP-10.190.250.204,WAFVIP-10.190.250.204,PROTECTS,SERVER-10.19.32.100,
WAFVIP-10.190.250.111,WAFVIP-10.190.250.111,PROTECTS,SERVER-10.19.93.194,
WAFVIP-10.190.250.112,WAFVIP-10.190.250.112,PROTECTS,SERVER-10.19.93.194,
WAFVIP-10.190.250.182,WAFVIP-10.190.250.182,PROTECTS,SERVER-10.19.63.130,
WAFVIP-10.190.250.181,WAFVIP-10.190.250.181,PROTECTS,SERVER-10.19.63.144,
WAFVIP-10.190.250.19,WAFVIP-10.190.250.19,PROTECTS,SERVER-10.19.23.114,
WAFVIP-10.190.250.69,WAFVIP-10.190.250.69,PROTECTS,SERVER-10.19.23.114,
WAFVIP-10.190.250.70,WAFVIP-10.190.250.70,PROTECTS,SERVER-10.19.17.226,
WAFVIP-10.190.250.71,WAFVIP-10.190.250.71,PROTECTS,SERVER-10.19.17.196,
WAFVIP-10.190.250.56,WAFVIP-10.190.250.56,PROTECTS,SERVER-10.20.22.146,
WAFVIP-10.190.250.57,WAFVIP-10.190.250.57,PROTECTS,SERVER-10.20.22.146,
WAFVIP-10.190.250.82,WAFVIP-10.190.250.82,PROTECTS,SERVER-10.19.138.194,
WAFVIP-10.190.250.76,WAFVIP-10.190.250.76,PROTECTS,SERVER-10.20.18.114,
WAFVIP-10.190.250.132,WAFVIP-10.190.250.132,PROTECTS,SERVER-10.19.57.40,
WAFVIP-10.190.250.133,WAFVIP-10.190.250.133,PROTECTS,SERVER-10.20.21.104,
WAFVIP-10.190.250.103,WAFVIP-10.190.250.103,PROTECTS,SERVER-10.20.21.70,
WAFVIP-10.190.250.123,WAFVIP-10.190.250.123,PROTECTS,SERVER-10.19.11.52,
WAFVIP-10.190.250.47,WAFVIP-10.190.250.47,PROTECTS,SERVER-10.19.66.100,
WAFVIP-10.190.250.205,WAFVIP-10.190.250.205,PROTECTS,SERVER-10.19.66.100,
WAFVIP-10.190.250.43,WAFVIP-10.190.250.43,PROTECTS,SERVER-10.190.6.39,
WAFVIP-10.190.250.99,WAFVIP-10.190.250.99,PROTECTS,SERVER-10.19.139.148,
