CINUM,CINAME,DESCRIPTION,CLASSSTRUCTUREID,CMDB,STATUS,MAINIPLB
WAFVIP-10.190.250.31,WAFVIP-10.190.250.31,AR_VIP,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.31
WAFVIP-10.190.250.83,WAFVIP-10.190.250.83,ATS-DOKKI,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.83
WAFVIP-10.190.250.203,WAFVIP-10.190.250.203,ATS-DOKKI-clone,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.203
WAFVIP-10.190.250.42,WAFVIP-10.190.250.42,ATSPortal,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.42
WAFVIP-10.190.250.8,WAFVIP-10.190.250.8,AgentTask2,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.8
WAFVIP-10.190.250.204,WAFVIP-10.190.250.204,AgentTask2-Clone,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.204
WAFVIP-10.190.250.111,WAFVIP-10.190.250.111,Anti-Corruption-Audit-Vip,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.111
WAFVIP-10.190.250.112,WAFVIP-10.190.250.112,Anti-Corruption-VIP,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.112
WAFVIP-10.190.250.182,WAFVIP-10.190.250.182,AppDynamics-ENTERPRISECONSOLE-VIP,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.182
WAFVIP-10.190.250.181,WAFVIP-10.190.250.181,AppDynamics-VIP,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.181
WAFVIP-10.190.250.19,WAFVIP-10.190.250.19,Backup_Project_PO1,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.19
WAFVIP-10.190.250.69,WAFVIP-10.190.250.69,Backup_Project_PO1_Blocking,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.69
WAFVIP-10.190.250.70,WAFVIP-10.190.250.70,Boxes-Cabinet-Reporting-Tool-Mobile,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.70
WAFVIP-10.190.250.71,WAFVIP-10.190.250.71,Boxes-Cabinet-Reporting-Tool-Web,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.71
WAFVIP-10.190.250.56,WAFVIP-10.190.250.56,Boxes-and-cabinets-admin,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.56
WAFVIP-10.190.250.57,WAFVIP-10.190.250.57,Boxes-and-cabinets-custumers,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.57
WAFVIP-10.190.250.82,WAFVIP-10.190.250.82,Budget,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.82
WAFVIP-10.190.250.76,WAFVIP-10.190.250.76,CHI-Test-VIP,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.76
WAFVIP-10.190.250.132,WAFVIP-10.190.250.132,CMS-BE-INT-VIP,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.132
WAFVIP-10.190.250.133,WAFVIP-10.190.250.133,CMS-BE-INT-VIP-TEST,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.133
WAFVIP-10.190.250.103,WAFVIP-10.190.250.103,CMS-FE-TEST-VS,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.103
WAFVIP-10.190.250.123,WAFVIP-10.190.250.123,CRM_FE_VIP,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.123
WAFVIP-10.190.250.47,WAFVIP-10.190.250.47,CSA-Remedy-Reporting,CMDB-IP-WAFVIP,1,OPERATING,10.190.250.47
