CINUM,SOURCECI,RELATIONNUM,TARGETCI,ISPRIMARYFIREWALL,Import_Error
F5VIP-10.19.252.202: 443,F5VIP-10.19.252.202: 443,RELATION.LOADBALANCES,SERVER-10.19.252.201,,
F5VIP-10.19.252.202: 80,F5VIP-10.19.252.202: 80,RELATION.LOADBALANCES,SERVER-10.19.252.201,,
F5VIP-10.19.249.17: 7891,F5VIP-10.19.249.17: 7891,RELATION.LOADBALANCES,SERVER-10.19.249.16,,
F5VIP-10.19.249.17: 443,F5VIP-10.19.249.17: 443,RELATION.LOADBALANCES,SERVER-10.19.249.16,,"CTGCC1046I - The CIRelation has not been saved, because the CI must exist before you can save the CIRelation."
F5VIP-10.19.249.17: 443,F5VIP-10.19.249.17: 443,RELATION.LOADBALANCES,SERVER-10.20.126.163,,"CTGCC1046I - The CIRelation has not been saved, because the CI must exist before you can save the CIRelation."
F5VIP-10.19.249.17: 443,F5VIP-10.19.249.17: 443,RELATION.LOADBALANCES,SERVER-10.20.126.195,,"CTGCC1046I - The CIRelation has not been saved, because the CI must exist before you can save the CIRelation."
F5VIP-10.19.249.12: 443,F5VIP-10.19.249.12: 443,RELATION.LOADBALANCES,SERVER-10.19.249.11,,
F5VIP-10.19.249.12: 7891,F5VIP-10.19.249.12: 7891,RELATION.LOADBALANCES,SERVER-10.19.249.11,,
F5VIP-10.19.32.38: 443,F5VIP-10.19.32.38: 443,RELATION.LOADBALANCES,SERVER-10.19.32.35,,
F5VIP-10.19.32.38: 80,F5VIP-10.19.32.38: 80,RELATION.LOADBALANCES,SERVER-10.19.32.35,,
F5VIP-10.19.33.215: 443,F5VIP-10.19.33.215: 443,RELATION.LOADBALANCES,SERVER-10.19.33.211,,
F5VIP-10.19.255.60: 80,F5VIP-10.19.255.60: 80,RELATION.LOADBALANCES,SERVER-10.19.255.56,,
F5VIP-10.19.255.60: 8080,F5VIP-10.19.255.60: 8080,RELATION.LOADBALANCES,SERVER-10.19.255.56,,
F5VIP-10.19.255.60: 443,F5VIP-10.19.255.60: 443,RELATION.LOADBALANCES,SERVER-10.19.255.56,,
F5VIP-10.19.63.144: 443,F5VIP-10.19.63.144: 443,RELATION.LOADBALANCES,SERVER-10.19.63.132,,"CTGCC1046I - The CIRelation has not been saved, because the CI must exist before you can save the CIRelation."
F5VIP-10.19.63.144: 8443,F5VIP-10.19.63.144: 8443,RELATION.LOADBALANCES,SERVER-10.19.63.132,,"CTGCC1046I - The CIRelation has not been saved, because the CI must exist before you can save the CIRelation."
F5VIP-10.19.63.143: 443,F5VIP-10.19.63.143: 443,RELATION.LOADBALANCES,SERVER-10.19.63.134,,"CTGCC1046I - The CIRelation has not been saved, because the CI must exist before you can save the CIRelation."
F5VIP-10.19.255.185: 80,F5VIP-10.19.255.185: 80,RELATION.LOADBALANCES,SERVER-10.19.255.181,,
F5VIP-10.190.1.100: 443,F5VIP-10.190.1.100: 443,RELATION.LOADBALANCES,SERVER-10.190.0.40,,
F5VIP-10.19.38.71: 8080,F5VIP-10.19.38.71: 8080,RELATION.LOADBALANCES,SERVER-10.19.38.70,,
F5VIP-10.19.37.217: 8080,F5VIP-10.19.37.217: 8080,RELATION.LOADBALANCES,SERVER-10.19.37.216,,
F5VIP-10.19.255.217: 8080,F5VIP-10.19.255.217: 8080,RELATION.LOADBALANCES,SERVER-10.19.255.216,,
F5VIP-10.19.57.196: 443,F5VIP-10.19.57.196: 443,RELATION.LOADBALANCES,SERVER-10.19.57.195,,
F5VIP-10.19.57.196: 8443,F5VIP-10.19.57.196: 8443,RELATION.LOADBALANCES,SERVER-10.19.57.195,,
F5VIP-10.19.17.228: 443,F5VIP-10.19.17.228: 443,RELATION.LOADBALANCES,SERVER-10.19.17.227,,
F5VIP-10.19.17.228: 8443,F5VIP-10.19.17.228: 8443,RELATION.LOADBALANCES,SERVER-10.19.17.227,,
F5VIP-10.19.17.196: 443,F5VIP-10.19.17.196: 443,RELATION.LOADBALANCES,SERVER-10.19.17.195,,
F5VIP-10.20.129.60: 17800,F5VIP-10.20.129.60: 17800,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17801,F5VIP-10.20.129.60: 17801,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17802,F5VIP-10.20.129.60: 17802,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17803,F5VIP-10.20.129.60: 17803,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17804,F5VIP-10.20.129.60: 17804,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17805,F5VIP-10.20.129.60: 17805,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17806,F5VIP-10.20.129.60: 17806,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17807,F5VIP-10.20.129.60: 17807,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17808,F5VIP-10.20.129.60: 17808,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17809,F5VIP-10.20.129.60: 17809,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17810,F5VIP-10.20.129.60: 17810,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17811,F5VIP-10.20.129.60: 17811,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17812,F5VIP-10.20.129.60: 17812,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17814,F5VIP-10.20.129.60: 17814,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17815,F5VIP-10.20.129.60: 17815,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17816,F5VIP-10.20.129.60: 17816,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17817,F5VIP-10.20.129.60: 17817,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17818,F5VIP-10.20.129.60: 17818,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17819,F5VIP-10.20.129.60: 17819,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17820,F5VIP-10.20.129.60: 17820,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17821,F5VIP-10.20.129.60: 17821,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17822,F5VIP-10.20.129.60: 17822,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17823,F5VIP-10.20.129.60: 17823,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17824,F5VIP-10.20.129.60: 17824,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17825,F5VIP-10.20.129.60: 17825,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17826,F5VIP-10.20.129.60: 17826,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17827,F5VIP-10.20.129.60: 17827,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17828,F5VIP-10.20.129.60: 17828,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17829,F5VIP-10.20.129.60: 17829,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17830,F5VIP-10.20.129.60: 17830,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17831,F5VIP-10.20.129.60: 17831,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17832,F5VIP-10.20.129.60: 17832,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17833,F5VIP-10.20.129.60: 17833,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17834,F5VIP-10.20.129.60: 17834,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17835,F5VIP-10.20.129.60: 17835,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17836,F5VIP-10.20.129.60: 17836,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17837,F5VIP-10.20.129.60: 17837,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17838,F5VIP-10.20.129.60: 17838,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
